Софтфон (software telephone);приложение для персонального компьютера, позволяющее осуществлять голосовые или видеозвонки через Интернет.
Сервер;приложение, обрабатывающее запросы клиента (в данной работе, в роли клиента выступает софтфон).
Фреймворк;программное обеспечение, облегчающее разработку и объединение разных компонентов большого программного проекта.
Библиотека (в программировании);набор классов и методов для решения определенных задач.
JSON (JavaScript Object Notation);формат обмена данными, основанный на JavaScript, удобный для написания и чтения человеком.
Софтфон (software telephone);приложение для персонального компьютера, позволяющее осуществлять голосовые или видеозвонки через Интернет.
Сервер;приложение, обрабатывающее запросы клиента (в данной работе, в роли клиента выступает софтфон).
Фреймворк;программное обеспечение, облегчающее разработку и объединение разных компонентов большого программного проекта.
Библиотека (в программировании);набор классов и методов для решения определенных задач.
JSON (JavaScript Object Notation);формат обмена данными, основанный на JavaScript, удобный для написания и чтения человеком.
Софтфон (software telephone);приложение для персонального компьютера, позволяющее осуществлять голосовые или видеозвонки через Интернет.
Сервер;приложение, обрабатывающее запросы клиента (в данной работе, в роли клиента выступает софтфон).
Фреймворк;программное обеспечение, облегчающее разработку и объединение разных компонентов большого программного проекта.
Библиотека (в программировании);набор классов и методов для решения определенных задач.
JSON (JavaScript Object Notation);формат обмена данными, основанный на JavaScript, удобный для написания и чтения человеком.
Софтфон (software telephone);приложение для персонального компьютера, позволяющее осуществлять голосовые или видеозвонки через Интернет.
Сервер;приложение, обрабатывающее запросы клиента (в данной работе, в роли клиента выступает софтфон).
Фреймворк;программное обеспечение, облегчающее разработку и объединение разных компонентов большого программного проекта.
Библиотека (в программировании);набор классов и методов для решения определенных задач.
JSON (JavaScript Object Notation);формат обмена данными, основанный на JavaScript, удобный для написания и чтения человеком.
Софтфон (software telephone);приложение для персонального компьютера, позволяющее осуществлять голосовые или видеозвонки через Интернет.
Сервер;приложение, обрабатывающее запросы клиента (в данной работе, в роли клиента выступает софтфон).
Фреймворк;программное обеспечение, облегчающее разработку и объединение разных компонентов большого программного проекта.
Библиотека (в программировании);набор классов и методов для решения определенных задач.
JSON (JavaScript Object Notation);формат обмена данными, основанный на JavaScript, удобный для написания и чтения человеком.
